,name,region,link,latitude,longitude
26,Chassiron,CHARENTE MARITIME,"https://www.google.fr/maps/place/Phare+De+Chassiron/@46.0444642,-1.4118086,16z/data=!4m5!1m2!2m1!1sChassiron+charente!3m1!1s0x0000000000000000:0xfc26b95249a9d143",46.0444642,-1.4118086
27,Côte sauvage,CHARENTE MARITIME,"https://www.google.fr/maps/place/45°42'41.6%22N+1°13'53.7%22W/@45.711558,-1.233783,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",45.711558,-1.233783
28,La Couarde,CHARENTE MARITIME,"https://www.google.fr/maps/place/La+Couarde-sur-Mer/@46.1993311,-1.4754183,13z/data=!3m1!4b1!4m2!3m1!1s0x4803f7e18d00e747:0x405d39260eea130",46.1993311,-1.4754183
29,Le Ptit Bec,CHARENTE MARITIME,"https://www.google.fr/maps/place/Plage+du+Petit+Bec/@46.2541651,-1.5217882,17z/data=!3m1!4b1!4m2!3m1!1s0x48040bc2d8affa4b:0xe04b3625b581d28b",46.2541651,-1.5217882
30,Les Boulassiers,CHARENTE MARITIME,"https://www.google.fr/maps/place/Les+Boulassiers,+17840+La+Brée-les-Bains/@46.0087561,-1.4756118,11z/data=!4m2!3m1!1s0x4803e38077adb797:0x117f073c7a5f7191",46.0087561,-1.4756118
31,Les Grenettes,CHARENTE MARITIME,"https://www.google.fr/maps/place/Les+Grenettes,+17740+Sainte-Marie-de-Ré/@46.1613541,-1.3750196,14z/data=!3m1!4b1!4m2!3m1!1s0x4803f92731521813:0xe98931c18e5745f3",46.1613541,-1.3750196
32,Les Huttes,CHARENTE MARITIME,"https://www.google.fr/maps/place/139+Chemin+des+Grenadiers,+17190+Saint-Georges-d'Oléron/@45.9909797,-1.3856531,17z/data=!3m1!4b1!4m2!3m1!1s0x4803e5b7de252c99:0x85a77f032a4a7f8c",45.9909797,-1.3856531
33,Pointe du Lizay,CHARENTE MARITIME,"https://www.google.fr/maps/place/Plage+du+Lizay/@46.2563691,-1.5183773,17z/data=!3m1!4b1!4m2!3m1!1s0x48040bdd81b91951:0xd5f600cb130224a7",46.2563691,-1.5183773
34,Royan Pontaillac,CHARENTE MARITIME,"https://www.google.fr/maps/place/Surf+Club+du+Pays+Royannais/@45.6271302,-1.0528202,18.69z/data=!4m2!3m1!1s0x0000000000000000:0x245e8a8c31174735",45.6271302,-1.0528202
35,Vert Bois,CHARENTE MARITIME,"https://www.google.fr/maps/place/Vert+Bois,+17550+Dolus-d'Oléron/@45.8821441,-1.325139,12z/data=!4m2!3m1!1s0x4803dff408f1b7f9:0x994a56e797d5d0e5",45.8821441,-1.325139
36,Ajaccio Capo Di Feno,CORSE,"https://www.google.fr/maps/place/Capo+Di+Feno,+20090+Ajaccio/@41.9632721,8.5223291,12z/data=!3m1!4b1!4m2!3m1!1s0x12da66dd3733421f:0x4e7a12c9155af259",41.9632721,8.5223291
37,Ajaccio Les CRS,CORSE,"https://www.google.fr/maps/place/41°58'45.1%22N+8°39'03.5%22E/@41.9792,8.648769,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",41.9792,8.648769
38,Algajola,CORSE,"https://www.google.fr/maps/place/Algajola/@42.6051289,8.8499563,15z/data=!3m1!4b1!4m2!3m1!1s0x12d0c2227364775f:0x040819a5fd955700",42.6051289,8.8499563
